[u'2017-05-31 09:19\xa0UTC', u'patcdr', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-31 09:22\xa0UTC', u'patcdr', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-31 13:18\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-31 13:19\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-31 13:26\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-05-31 15:28\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
[u'2017-05-31 22:16\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-06-01 08:05\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-06-02 15:55\xa0UTC', u'vafandal', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-06-02 15:59\xa0UTC', u'vafandal', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-06-02 16:04\xa0UTC', u'vafandal', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-06-02 16:28\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-02 16:37\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-02 21:16\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-02 22:00\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-03 22:43\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'peaceful_williams\xa0(47)']
[u'2017-06-04 14:23\xa0UTC', u'RonaldRietman', u'1\xa0\U0001f353', u'elastic_bell\xa0(49)']
[u'2017-06-04 15:23\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-04 16:45\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-06-04 16:48\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-06-05 10:03\xa0UTC', u'Luigi37', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-06-05 13:12\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-05 13:12\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-05 13:12\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-05 13:33\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'nifty_heisenberg\xa0(41)']
[u'2017-06-05 13:45\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-06-05 13:47\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-05 13:52\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-06-05 13:59\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-06-05 14:04\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-06-05 14:22\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'lucid_roentgen\xa0(24)']
[u'2017-06-05 14:49\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-06-05 15:08\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-06-05 15:16\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-06-05 16:52\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
[u'2017-06-05 17:07\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-06-05 17:09\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-06-05 17:13\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-06-05 18:07\xa0UTC', u'RonaldRietman', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-05 19:11\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-06 08:28\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-06-06 08:57\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-06-06 08:59\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'nifty_heisenberg\xa0(41)']
[u'2017-06-06 09:00\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'practical_franklin\xa0(42)']
[u'2017-06-06 09:56\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-06 10:08\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-06 21:07\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-06 21:11\xa0UTC', u'RonaldRietman', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-06 21:19\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-06 21:30\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-06 22:45\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-07 07:01\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-07 11:43\xa0UTC', u'derks', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-07 14:15\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-07 14:18\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-07 14:19\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'eloquent_indiana\xa0(52)']
[u'2017-06-07 14:19\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'reverent_beaver\xa0(48)']
[u'2017-06-07 14:20\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'peaceful_williams\xa0(47)']
[u'2017-06-07 14:21\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'dazzling_panini\xa0(46)']
[u'2017-06-07 14:22\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-06-07 14:28\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'elastic_bell\xa0(49)']
[u'2017-06-07 14:41\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-07 16:39\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-07 16:39\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-07 17:28\xa0UTC', u'kerckhoffs', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-08 06:56\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-08 11:14\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-08 11:25\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-08 13:22\xa0UTC', u'mice', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
[u'2017-06-08 14:28\xa0UTC', u'hhhhhkkkkkkk', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-06-08 14:29\xa0UTC', u'hhhhhkkkkkkk', u'0\xa0\U0001f353', u'quirky_keller\xa0(45)']
[u'2017-06-08 14:30\xa0UTC', u'sheepwracker', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-06-08 14:31\xa0UTC', u'hhhhhkkkkkkk', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-06-08 14:55\xa0UTC', u'derks', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-06-09 21:07\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'happy_yalow\xa0(60)']
[u'2017-06-09 21:08\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'nostalgic_noether\xa0(61)']
[u'2017-06-09 21:14\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'happy_yalow\xa0(60)']
[u'2017-06-09 21:15\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'nostalgic_noether\xa0(61)']
[u'2017-06-10 12:08\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'clever_hoover\xa0(32)']
[u'2017-06-10 12:17\xa0UTC', u'jonny_the_depp', u'0\xa0\U0001f353', u'nostalgic_noether\xa0(61)']
[u'2017-06-10 12:38\xa0UTC', u'jonny_the_depp', u'0\xa0\U0001f353', u'happy_yalow\xa0(60)']
[u'2017-06-10 12:45\xa0UTC', u'jonny_the_depp', u'0\xa0\U0001f353', u'famous_stonebraker\xa0(55)']
[u'2017-06-10 13:17\xa0UTC', u'jonny_the_depp', u'0\xa0\U0001f353', u'thirsty_fermat\xa0(57)']
[u'2017-06-10 14:13\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'happy_yalow\xa0(60)']
[u'2017-06-10 14:14\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'nostalgic_noether\xa0(61)']
